st_dbscan_cluster_id,cluster_label,geometry_source,road_class,lane_count,carriageway_width_m,link_length_m,junction_degree,betweenness_centrality
572,BTP192 - Urvashi Theater,osmnx,secondary,3,10.5,101.51361259025651,6,0.030607311811579205
212,POLICE_STATION::Malleshwaram,osmnx,primary,2,7.0,107.33475625307807,6,0.0003807163775309701
745,BTP136 - Hosur-Tavarkere Road Junction,osmnx,residential,2,7.0,56.85866014409665,2,0.0
106,POLICE_STATION::HSR Layout,osmnx,secondary,2,7.0,117.5334096851756,6,0.006127087824935656
260,BTP219 - Canara Bank Junction,osmnx,secondary,2,7.0,81.45489199135767,4,0.0031044314997588757
345,POLICE_STATION::Pulikeshinagar(F.Town),osmnx,tertiary,2,7.0,81.42570967048351,6,0.04081125092185918
472,POLICE_STATION::Mahadevapura,osmnx,trunk,3,10.5,128.363778357975,4,0.04697206577668938
432,BTP047 - Vidhan Soudha Metro Station,osmnx,primary,3,10.5,462.18264480726384,3,3.37270298945441e-05
583,POLICE_STATION::Halasur,osmnx,tertiary,2,7.0,100.31209634600191,6,0.00013049914715875603
70,POLICE_STATION::Peenya,osmnx,tertiary,2,7.0,170.1844296075653,4,0.000145850094925643
683,POLICE_STATION::Pulikeshinagar(F.Town),osmnx,tertiary,2,7.0,73.5926960700416,6,6.597367488913683e-05
420,"BTP163 - 16th Main Road, BTM Layout",osmnx,tertiary,2,7.0,48.420518613818075,4,6.391400894137841e-05
137,POLICE_STATION::Mahadevapura,osmnx,trunk,3,10.5,1233.0204840192018,6,0.003935538891959831
566,BTP218 - Syndicate Bank Junction,osmnx,residential,2,7.0,261.0897943765617,4,0.003436552633834921
741,POLICE_STATION::HSR Layout,osmnx,secondary,2,7.0,67.33689216483063,3,1.802207704288616e-05
78,"BTP163 - 16th Main Road, BTM Layout",osmnx,tertiary,2,7.0,33.655616924973636,4,6.059923405670471e-05
614,POLICE_STATION::Bellandur,osmnx,primary,3,10.5,185.17392461293443,4,9.780195023809114e-05
