st_dbscan_cluster_id,gap_count,mean_dwell_minutes,median_dwell_minutes,std_dwell_minutes,mu_departures_per_hour
172,2,84.5,84.5,74.5,0.71005917158923
174,8,16.25,13.5,13.169567191065923,3.6923076920804734
184,1,27.0,27.0,0.0,2.2222222221399175
206,3,34.0,35.0,2.943920288775949,1.7647058823010382
214,1,1.0,1.0,0.0,59.999999939999995
221,1,23.0,23.0,0.0,2.6086956520604914
227,4,106.5,41.0,128.11225546371432,0.5633802816848509
230,17,120.3529411764706,81.0,127.75801629112593,0.49853372433603366
232,4,165.25,78.5,173.20706538706784,0.36308623297813564
234,2,42.5,42.5,18.5,1.4117647058491352
239,1,445.0,445.0,0.0,0.13483146067385432
240,13,40.38461538461539,28.0,48.18480204306119,1.4857142856774967
254,2,55.0,55.0,51.0,1.0909090908892562
259,1,67.0,67.0,0.0,0.8955223880463354
261,1,18.0,18.0,0.0,3.3333333331481483
262,2,19.5,19.5,4.5,3.076923076765286
263,1,42.0,42.0,0.0,1.4285714285374151
267,2,47.0,47.0,40.0,1.2765957446536895
268,1,10.0,10.0,0.0,5.9999999994
270,7,184.28571428571428,192.0,18.147918304188785,0.32558139534707053
272,4,132.0,141.0,77.85884663928692,0.45454545454201106
276,7,3.7142857142857144,2.0,2.913725436338734,16.153846149497042
277,1,63.0,63.0,0.0,0.9523809523658353
279,2,2.5,2.5,1.5,23.9999999904
285,2,82.5,82.5,78.5,0.7272727272639118
286,2,220.0,220.0,197.0,0.2727272727260331
290,3,251.66666666666666,328.0,129.00215329813514,0.23841059602554276
293,1,6.0,6.0,0.0,9.999999998333333
294,1,41.0,41.0,0.0,1.4634146341106486
296,1,105.0,105.0,0.0,0.5714285714231292
297,1,2.0,2.0,0.0,29.999999985
298,1,74.0,74.0,0.0,0.8108108107998538
299,9,114.66666666666667,14.0,122.78345889319854,0.5232558139489251
306,1,3.0,3.0,0.0,19.999999993333333
314,1,1.0,1.0,0.0,59.999999939999995
318,1,1.0,1.0,0.0,59.999999939999995
323,4,139.0,10.0,228.07674147093562,0.4316546762558874
324,1,192.0,192.0,0.0,0.3124999999983724
339,2,20.0,20.0,13.0,2.99999999985
341,28,140.0,132.0,97.57487967124091,0.4285714285683674
342,15,71.53333333333333,43.0,141.36990092975552,0.8387698042753201
343,2,1.0,1.0,0.0,59.999999939999995
347,4,15.5,16.0,10.523782589924593,3.870967741685744
348,48,82.89583333333333,65.5,71.083061620231,0.7237999497273832
349,1,4.0,4.0,0.0,14.99999999625
351,1,52.0,52.0,0.0,1.1538461538239646
353,1,13.0,13.0,0.0,4.615384615029586
355,1,274.0,274.0,0.0,0.21897810218898184
357,2,35.5,35.5,0.5,1.690140845022813
360,6,30.833333333333332,5.0,55.02247015740226,1.9459459458828343
361,2,73.0,73.0,0.0,0.8219178082079189
362,6,71.16666666666667,42.0,53.0861459223486,0.8430913348827668
364,1,34.0,34.0,0.0,1.7647058823010382
365,1,1.0,1.0,0.0,59.999999939999995
366,11,71.0,16.0,94.00773662552751,0.8450704225233088
369,3,186.0,185.0,1.4142135623730951,0.32258064515955603
371,1,11.0,11.0,0.0,5.454545454049587
374,4,159.75,160.0,0.4330127018922193,0.3755868544577428
375,1,99.0,99.0,0.0,0.6060606060544842
376,1,3.0,3.0,0.0,19.999999993333333
378,4,36.75,41.0,21.299941314473145,1.632653061180064
379,2,193.5,193.5,192.5,0.3100775193782425
381,2,8.0,8.0,6.0,7.4999999990625
382,10,56.8,33.0,52.691175731805416,1.0563380281504167
385,1,1.0,1.0,0.0,59.999999939999995
390,1,47.0,47.0,0.0,1.2765957446536895
393,6,66.5,22.0,72.32277188640748,0.9022556390841766
397,2,21.5,21.5,3.5,2.7906976742888046
402,1,50.0,50.0,0.0,1.199999999976
406,2,180.0,180.0,106.0,0.3333333333314815
408,1,348.0,348.0,0.0,0.17241379310295285
409,1,6.0,6.0,0.0,9.999999998333333
410,1,228.0,228.0,0.0,0.2631578947356879
413,12,13.083333333333334,8.5,14.085798600797265,4.585987260795975
414,1,8.0,8.0,0.0,7.4999999990625
416,1,5.0,5.0,0.0,11.9999999976
418,4,44.0,38.0,34.03674485023502,1.363636363605372
422,1,363.0,363.0,0.0,0.16528925619789178
423,9,44.888888888888886,45.0,13.75535810305242,1.3366336633365603
427,1,1.0,1.0,0.0,59.999999939999995
431,1,121.0,121.0,0.0,0.4958677685909432
432,5,20.0,20.0,0.6324555320336759,2.99999999985
434,2,10.5,10.5,9.5,5.714285713741496
444,1,62.0,62.0,0.0,0.9677419354682623
451,2,119.5,119.5,82.5,0.5020920502050034
454,3,274.0,346.0,152.45545797598282,0.21897810218898184
457,1,20.0,20.0,0.0,2.99999999985
460,1,271.0,271.0,0.0,0.22140221402132323
462,1,102.0,102.0,0.0,0.58823529411188
468,1,12.0,12.0,0.0,4.999999999583333
473,14,46.857142857142854,41.5,37.378101195480646,1.2804878048507216
478,1,3.0,3.0,0.0,19.999999993333333
482,1,5.0,5.0,0.0,11.9999999976
483,1,11.0,11.0,0.0,5.454545454049587
484,2,46.0,46.0,44.0,1.3043478260586012
486,2,150.5,150.5,0.5,0.398671096342866
488,1,1.0,1.0,0.0,59.999999939999995
489,2,42.5,42.5,2.5,1.4117647058491352
491,1,289.0,289.0,0.0,0.20761245674668646
499,2,2.0,2.0,1.0,29.999999985
500,1,19.0,19.0,0.0,3.1578947366759005
501,3,14.666666666666666,4.0,16.519348924485158,4.0909090906301655
503,1,13.0,13.0,0.0,4.615384615029586
514,2,53.5,53.5,17.5,1.1214953270818413
516,1,223.0,223.0,0.0,0.269058295962919
525,1,69.0,69.0,0.0,0.869565217378702
532,2,96.5,96.5,38.5,0.6217616580246449
539,1,2.0,2.0,0.0,29.999999985
545,11,32.90909090909091,30.0,27.959238334841363,1.8232044198341018
549,1,289.0,289.0,0.0,0.20761245674668646
550,3,180.66666666666666,249.0,125.23134148003402,0.33210332103137213
553,1,23.0,23.0,0.0,2.6086956520604914
560,1,66.0,66.0,0.0,0.909090909077135
563,2,6.0,6.0,5.0,9.999999998333333
572,2,76.5,76.5,64.5,0.7843137254799436
575,9,192.55555555555554,193.0,1.1653431646335017,0.3115983843030558
577,1,5.0,5.0,0.0,11.9999999976
589,2,459.5,459.5,0.5,0.1305767138190847
591,1,119.0,119.0,0.0,0.504201680668032
594,3,275.6666666666667,286.0,22.065558884580486,0.21765417170416812
595,1,138.0,138.0,0.0,0.4347826086925016
598,1,16.0,16.0,0.0,3.749999999765625
600,1,1.0,1.0,0.0,59.999999939999995
601,2,86.0,86.0,73.0,0.6976744185965387
602,1,1.0,1.0,0.0,59.999999939999995
603,2,10.5,10.5,5.5,5.714285713741496
606,2,16.5,16.5,5.5,3.6363636361432508
616,1,85.0,85.0,0.0,0.7058823529328719
624,1,504.0,504.0,0.0,0.11904761904738284
628,1,481.0,481.0,0.0,0.12474012473986541
629,1,9.0,9.0,0.0,6.666666665925926
636,1,7.0,7.0,0.0,8.571428570204082
638,2,31.5,31.5,0.5,1.9047619047014361
639,2,21.0,21.0,20.0,2.857142857006803
644,2,175.5,175.5,171.5,0.3418803418783939
650,1,21.0,21.0,0.0,2.857142857006803
653,8,87.5,26.0,87.41138369800584,0.685714285706449
654,1,1.0,1.0,0.0,59.999999939999995
656,2,27.5,27.5,24.5,2.181818181738843
657,1,377.0,377.0,0.0,0.1591511936335301
658,8,88.625,24.0,92.54314871993496,0.6770098730530097
660,1,45.0,45.0,0.0,1.3333333333037038
664,3,206.33333333333334,308.0,143.77837884126467,0.29079159935238713
672,1,16.0,16.0,0.0,3.749999999765625
673,1,80.0,80.0,0.0,0.7499999999906249
678,1,8.0,8.0,0.0,7.4999999990625
681,3,104.66666666666667,106.0,15.542057635833022,0.5732484076378351
682,1,87.0,87.0,0.0,0.689655172405866
686,2,143.0,143.0,4.0,0.4195804195774855
689,1,5.0,5.0,0.0,11.9999999976
690,1,172.0,172.0,0.0,0.3488372093002975
692,1,21.0,21.0,0.0,2.857142857006803
694,1,326.0,326.0,0.0,0.18404907975403667
696,1,16.0,16.0,0.0,3.749999999765625
697,3,77.66666666666667,112.0,49.97554957732386,0.7725321888312549
704,1,65.0,65.0,0.0,0.9230769230627218
705,1,14.0,14.0,0.0,4.285714285408163
710,5,10.4,5.0,12.737346662472527,5.769230768676035
716,1,26.0,26.0,0.0,2.3076923076035505
717,1,195.0,195.0,0.0,0.3076923076907298
728,1,282.0,282.0,0.0,0.21276595744605403
730,1,15.0,15.0,0.0,3.9999999997333333
732,1,5.0,5.0,0.0,11.9999999976
734,1,118.0,118.0,0.0,0.5084745762668773
736,1,30.0,30.0,0.0,1.9999999999333333
743,1,2.0,2.0,0.0,29.999999985
748,2,32.0,32.0,20.0,1.8749999999414064
750,2,2.0,2.0,1.0,29.999999985
754,1,1.0,1.0,0.0,59.999999939999995
756,1,246.0,246.0,0.0,0.24390243902339878
760,1,29.0,29.0,0.0,2.0689655171700356
761,1,8.0,8.0,0.0,7.4999999990625
763,3,161.0,161.0,0.0,0.3726708074511014
769,2,19.5,19.5,18.5,3.076923076765286
770,1,8.0,8.0,0.0,7.4999999990625
773,1,71.0,71.0,0.0,0.8450704225233088
775,1,31.0,31.0,0.0,1.935483870905307
