dispatch_rank,cluster_key,cluster_label,cluster_label_display,zone_name,final_risk_band,future_risk_band,priority_band,priority_score,probability_of_escalation,predicted_next_week_ccs_score,current_week_ccs_proxy_score,predicted_delta_score,predicted_delta_pct,recommended_patrol_count,tow_required,tow_reason,recommended_time_window,recommended_day_name,recommended_shift,enforcement_action,forecast_recommendation,road_class,geometry_source,dominant_vehicle_type,records_week,weekly_growth_pct,validation_uncertainty,repeat_vehicle_count_2plus,chronic_vehicle_count_5plus,vdi,tvs,resurgence_score,persistence_score,criticality_factor,context_multiplier,layer_b_priority_boost,layer_b_alert_flag,nearby_sensitive_poi_count,lane_count,carriageway_width_m,link_length_m,junction_degree,betweenness_centrality,road_node_distance_m,road_node_degree,road_node_betweenness,source_pressure_score,source_pressure_norm,spillover_out_score,spillover_in_score,spillover_total_score,propagation_radius_m,network_pagerank,network_component_id,network_component_size,neighbor_count,in_neighbor_count,out_neighbor_count,influence_asymmetry,network_vulnerability_score,dispatch_notes,lat,lon
22,638,POLICE_STATION::HSR Layout,POLICE_STATION::HSR Layout (Cluster 638),POLICE_STATION::HSR Layout (Cluster 638),Watch,Watch,Watch,24.053764212523188,0.8389355738957723,12.152031546309466,4.216144331118711,7.935887215190755,188.2261751509533,0,False,No tow required,07:00-10:00,All Days,Morning,Routine monitoring,Routine monitoring,tertiary,osmnx,MOTOR CYCLE,11,-0.7962962962815501,0.0,,,0.0,0.0,0.0,0.0,1.5772252587823958,1.0,0.0,0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,forecast=12.15 | esc_prob=0.84 | priority=24.1 | patrols=0 | tow=no | window=07:00-10:00,12.912490950331126,77.63469243708609
23,484,"BTP070 - Cholurpalya Junction, Magadi Road","BTP070 - Cholurpalya Junction, Magadi Road (Cluster 484)","BTP070 - Cholurpalya Junction, Magadi Road (Cluster 484)",Watch,Watch,Watch,23.951911179966938,0.8583850860595703,15.603032033109484,0.2208013768193505,15.382230656290131,6966.546499032794,0,False,No tow required,07:00-10:00,All Days,Morning,Routine monitoring,Routine monitoring,residential,osmnx,SCOOTER,1,-0.9909090909000826,0.0,,,0.0,0.0,0.0,0.0,1.4735935218402727,1.0,0.0,0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,forecast=15.60 | esc_prob=0.86 | priority=24.0 | patrols=0 | tow=no | window=07:00-10:00,12.973560944848485,77.55099136
24,678,POLICE_STATION::Jeevanbheemanagar,POLICE_STATION::Jeevanbheemanagar (Cluster 678),POLICE_STATION::Jeevanbheemanagar (Cluster 678),Watch,Watch,Watch,23.941795398164924,0.8562091588973999,15.942267804906573,2.649616521832207,13.292651283074363,501.68207997381023,0,False,No tow required,07:00-10:00,All Days,Morning,Routine monitoring,Routine monitoring,tertiary,osmnx,CAR,3,-0.9230769230532544,0.0,,,0.0,0.0,0.0,0.0,1.449452113653696,1.0,0.0,0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,forecast=15.94 | esc_prob=0.86 | priority=23.9 | patrols=0 | tow=no | window=07:00-10:00,12.970349842224538,77.64653041019761
25,64,"BTP080 - NR Road, SP Road Junction","BTP080 - NR Road, SP Road Junction (Cluster 64)","BTP080 - NR Road, SP Road Junction (Cluster 64)",Watch,Watch,Watch,23.918911126181786,0.8582420746485392,18.443400925362717,1.2999060068309385,17.143494918531776,1318.8257316494687,0,False,No tow required,07:00-10:00,All Days,Morning,Routine monitoring,Routine monitoring,living_street,osmnx,SCOOTER,2,-0.9797979797880828,0.0,,,0.0,0.0,0.0,0.0,1.3937338569861069,1.0,0.0,0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,forecast=18.44 | esc_prob=0.86 | priority=23.9 | patrols=0 | tow=no | window=07:00-10:00,12.964301476470586,77.58299856470587
26,553,BTP048 - Shanthala Junction,BTP048 - Shanthala Junction (Cluster 553),BTP048 - Shanthala Junction (Cluster 553),Watch,Watch,Watch,23.91392612653329,0.8562091588973999,16.199180917100747,1.7513012604438647,14.447879656656882,824.9796865186571,0,False,No tow required,07:00-10:00,All Days,Morning,Routine monitoring,Routine monitoring,primary,osmnx,PASSENGER AUTO,4,-0.9540229884947812,0.0,,,0.0,0.0,0.0,0.0,1.447517303303328,1.0,0.0,0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,forecast=16.20 | esc_prob=0.86 | priority=23.9 | patrols=0 | tow=no | window=07:00-10:00,12.977052076991152,77.57076004955752
27,21,"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road","BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road (Cluster 21)","BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road (Cluster 21)",Watch,Watch,Watch,23.813383655304023,0.8562091588973999,17.935188200854164,1.3248082609161038,16.61037993993806,1253.7950145264074,0,False,No tow required,07:00-10:00,All Days,Morning,Routine monitoring,Routine monitoring,tertiary,osmnx,CAR,3,-0.9499999999841668,0.0,,,0.0,0.0,0.0,0.0,1.3984353220871166,1.0,0.0,0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,forecast=17.94 | esc_prob=0.86 | priority=23.8 | patrols=0 | tow=no | window=07:00-10:00,12.993228379790455,77.55393182070699
28,67,BTP100 - Richmond Circle,BTP100 - Richmond Circle (Cluster 67),BTP100 - Richmond Circle (Cluster 67),Watch,Watch,Watch,23.708433873587058,0.8562091588973999,13.3301994053653,2.874734567479164,10.455464837886137,363.7019206060977,0,False,No tow required,07:00-10:00,All Days,Morning,Routine monitoring,Routine monitoring,residential,osmnx,SCOOTER,8,-0.932773109235859,0.0,,,0.0,0.0,0.0,0.0,1.4841944424293367,1.0,0.0,0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,forecast=13.33 | esc_prob=0.86 | priority=23.7 | patrols=0 | tow=no | window=07:00-10:00,12.962080470731706,77.59836174439025
29,101,POLICE_STATION::Yeshwanthpura,POLICE_STATION::Yeshwanthpura (Cluster 101),POLICE_STATION::Yeshwanthpura (Cluster 101),Watch,Watch,Watch,23.541399150461896,0.8448196252187093,16.79838194174396,5.473956166602695,11.324425775141265,206.87826917877516,0,False,No tow required,07:00-10:00,All Days,Morning,Routine monitoring,Routine monitoring,trunk,osmnx,SCOOTER,21,-0.4878048780368828,0.0,,,0.0,0.0,0.0,0.0,1.386741523001389,1.0,0.0,0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,forecast=16.80 | esc_prob=0.84 | priority=23.5 | patrols=0 | tow=no | window=07:00-10:00,13.0304705,77.53682315538461
30,65,BTP061 - Bhashyam Circle,BTP061 - Bhashyam Circle (Cluster 65),BTP061 - Bhashyam Circle (Cluster 65),Watch,Watch,Watch,23.536375997606036,0.8562091588973999,16.37987647110391,2.796817439711773,13.583059031392136,485.66126747033326,0,False,No tow required,07:00-10:00,All Days,Morning,Routine monitoring,Routine monitoring,residential,osmnx,SCOOTER,3,-0.9285714285493198,0.0,,,0.0,0.0,0.0,0.0,1.3930392230330402,1.0,0.0,0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,forecast=16.38 | esc_prob=0.86 | priority=23.5 | patrols=0 | tow=no | window=07:00-10:00,12.985469412727271,77.55334309818183
31,218,BTP208 - Havanur Circle,BTP208 - Havanur Circle (Cluster 218),BTP208 - Havanur Circle (Cluster 218),Watch,Watch,Watch,23.525714696169274,0.9054337739944458,17.700248855477682,2.2816142271332893,15.418634628344392,675.7774578290214,0,False,No tow required,07:00-10:00,All Days,Morning,Routine monitoring,Routine monitoring,secondary,osmnx,SCOOTER,3,-0.9347826086753308,0.0,,,0.0,0.0,0.0,0.0,1.2572722440177972,1.0,0.0,0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,forecast=17.70 | esc_prob=0.91 | priority=23.5 | patrols=0 | tow=no | window=07:00-10:00,12.988330528571428,77.53745414166667
